Season,Season Start,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
1984-85,1984,NBA,Cleveland Cavaliers*,36,46,0.439,4,-2.27,101.9,-0.2,106,-1.9,108.7,0.8,Lost E. Conf. 1st Rnd.,G. Karl (36-46),W. Free (6.0)
1983-84,1983,NBA,Cleveland Cavaliers,28,54,0.341,4,-3.71,97.4,-4,104.1,-3.5,108.5,0.9,,T. Nissalke (28-54),W. Free (5.3)
1982-83,1982,NBA,Cleveland Cavaliers,23,59,0.28,5,-6.78,97.6,-5.5,99.2,-5.5,106.8,2.1,,T. Nissalke (23-59),W. Free (4.6)
1981-82,1981,NBA,Cleveland Cavaliers,15,67,0.183,6,-7.77,99.3,-1.6,103.3,-3.6,111.8,4.9,,D. Delaney (4-11) B. Kloppenburg (0-3) C. Daly (9-32) B. Musselman (2-21),J. Edwards (4.3)
1980-81,1980,NBA,Cleveland Cavaliers,28,54,0.341,5,-4.15,100.8,-1,104.3,-1.2,109.1,3.6,,B. Musselman (25-46) D. Delaney (3-8),M. Mitchell (6.0)
1979-80,1979,NBA,Cleveland Cavaliers,37,45,0.451,5,0.43,105.6,2.5,106.7,1.4,106.4,1.1,,S. Albeck (37-45),D. Robisch (8.6)
1978-79,1978,NBA,Cleveland Cavaliers,30,52,0.366,5,-3.57,102.7,-3.1,103.7,-0.1,107.3,3.5,,B. Fitch (30-52),C. Russell (6.7)
1977-78,1977,NBA,Cleveland Cavaliers*,43,39,0.524,3,0.44,103.5,-3.2,99.9,-1,99.4,-1.5,Lost E. Conf. 1st Rnd.,B. Fitch (43-39),E. Smith (6.8)
1976-77,1976,NBA,Cleveland Cavaliers*,43,39,0.524,4,1.08,101.5,-5,100,0.5,98.9,-0.6,Lost E. Conf. 1st Rnd.,B. Fitch (43-39),J. Chones (5.9)
1975-76,1975,NBA,Cleveland Cavaliers*,49,33,0.598,1,2.34,101.6,-3.9,99.5,1.2,97,-1.3,Lost E. Conf. Finals,B. Fitch (49-33),J. Brewer (7.9)
1974-75,1974,NBA,Cleveland Cavaliers,40,42,0.488,3,-0.31,100.4,-4.1,97.6,-0.1,98,0.3,,B. Fitch (40-42),D. Snyder (6.4)
1973-74,1973,NBA,Cleveland Cavaliers,29,53,0.354,4,-4.16,104.1,-3.7,96,-1.7,100.1,2.4,,B. Fitch (29-53),L. Wilkens (6.5)
1972-73,1972,NBA,Cleveland Cavaliers,32,50,0.39,4,-2.64,108.3,-2.4,94,-2.8,96.5,-0.3,,B. Fitch (32-50),L. Wilkens (9.5)
1971-72,1971,NBA,Cleveland Cavaliers,23,59,0.28,4,-7.9,111.5,-0.5,94.5,-3.4,101.4,3.5,,B. Fitch (23-59),B. Beard (5.9)
1970-71,1970,NBA,Cleveland Cavaliers,15,67,0.183,4,-12.04,110.6,-4.5,92.3,-4.9,102.4,5.2,,B. Fitch (15-67),W. Wesley (4.1)
