Label,Average Distance-to-Default (ADD),Portfolio Distance-to-Default (PDD),PDD-ADD (Spread),KBE ETF
7/1/2011,3.8743,4.3591,0.4849,24.44
7/5/2011,3.8019,4.4196,0.6178,24.17
7/6/2011,3.7407,4.2747,0.534,24
7/7/2011,3.8948,4.4282,0.5334,24.4
7/8/2011,3.7725,4.484,0.7115,24.03
7/11/2011,3.5562,4.3311,0.7748,23.34
7/12/2011,3.5168,4.0319,0.515,23.285
7/13/2011,3.4897,4.0254,0.5357,23.35
7/14/2011,3.4465,3.8542,0.4077,23.08
7/15/2011,3.4438,3.8851,0.4413,23.07
7/18/2011,3.3355,4.0983,0.7628,22.7
7/19/2011,3.538,4.0412,0.5032,22.99
7/20/2011,3.6393,4.0784,0.4392,23.29
7/21/2011,3.7301,4.1669,0.4368,23.85
7/22/2011,3.7343,4.1782,0.4439,23.77
7/25/2011,3.6572,4.2076,0.5504,23.65
7/26/2011,3.5823,3.9294,0.3471,23.58
7/27/2011,3.4037,3.7677,0.364,23.02
7/28/2011,3.3803,3.8027,0.4225,23
7/29/2011,3.3151,3.6507,0.3356,22.88
8/1/2011,3.3525,3.6501,0.2976,22.84
8/2/2011,3.2632,3.7232,0.46,22.09
8/3/2011,3.2502,3.7433,0.4931,22.24
8/4/2011,2.8599,3.2078,0.3479,21.09
8/5/2011,2.5252,2.8144,0.2891,20.62
8/8/2011,1.8817,2.1573,0.2756,18.45
8/9/2011,2.0688,2.7477,0.6789,19.7001
8/10/2011,1.8518,2.1249,0.2731,18.1
8/11/2011,1.9743,2.174,0.1997,19.14
8/12/2011,1.9854,2.2323,0.2469,18.8
8/15/2011,2.201,2.5324,0.3314,19.53
8/16/2011,2.2073,2.5136,0.3063,19.15
8/17/2011,2.3449,2.6213,0.2763,19.28
8/18/2011,1.9347,2.2807,0.3459,18.22
8/19/2011,1.878,2.1896,0.3116,17.68
8/22/2011,1.8604,2.0104,0.1499,17.48
8/23/2011,2.0111,2.1791,0.168,18.15
8/24/2011,2.1248,2.2764,0.1516,18.77
8/25/2011,2.025,2.2838,0.2588,18.77
8/26/2011,2.113,2.3071,0.1941,18.99
8/29/2011,2.3375,2.4341,0.0967,19.83
8/30/2011,2.3591,2.6073,0.2482,19.69
8/31/2011,2.3941,2.7129,0.3188,19.9
9/1/2011,2.319,2.5591,0.2401,19.33
9/2/2011,2.1525,2.3053,0.1528,18.44
9/6/2011,2.0111,2.3287,0.3176,18.15
9/7/2011,2.1809,2.472,0.2911,19.19
9/8/2011,2.1533,2.3747,0.2214,18.7
9/9/2011,1.9186,2.1709,0.2523,18.07
9/12/2011,1.8977,2.0859,0.1882,18.38
9/13/2011,2.0279,2.2029,0.175,18.59
9/14/2011,2.14,2.2744,0.1344,18.92
9/15/2011,2.2228,2.4192,0.1963,19.37
9/16/2011,2.2119,2.3519,0.14,19.21
9/19/2011,2.1522,2.2358,0.0835,18.67
9/20/2011,2.1903,2.237,0.0467,18.62
9/21/2011,2.0136,2.2594,0.2458,17.57
9/22/2011,1.7832,1.946,0.1628,17.09
9/23/2011,1.7927,1.9385,0.1458,17.38
9/26/2011,1.902,2.032,0.13,18.29
9/27/2011,2.0018,2.1637,0.1619,18.29
9/28/2011,1.9058,2.0095,0.1037,17.65
9/29/2011,1.895,2.029,0.134,18.25
9/30/2011,1.8125,1.9013,0.0889,17.54
10/3/2011,1.5854,1.7372,0.1518,16.73
10/4/2011,1.5952,1.68,0.0849,17.47
10/5/2011,1.7914,1.9049,0.1135,17.67
10/6/2011,1.8762,1.9741,0.0979,18.46
10/7/2011,1.8791,1.9871,0.108,17.7
10/10/2011,1.9306,1.9797,0.0491,18.61
10/11/2011,1.9901,2.0884,0.0983,18.75
10/12/2011,2.1479,2.2037,0.0558,19.34
10/13/2011,2.047,2.0524,0.0054,18.78
10/14/2011,2.1304,2.1762,0.0458,18.91
10/17/2011,2.0259,2.0917,0.0658,18.17
10/18/2011,2.1574,2.1678,0.0104,19.25
10/19/2011,2.0299,2.1497,0.1198,18.7
10/20/2011,2.0623,2.3147,0.2525,19.03
10/21/2011,2.1497,2.1757,0.026,19.36
10/24/2011,2.3314,2.3557,0.0243,19.79
10/25/2011,2.2561,2.2664,0.0104,19.13
10/26/2011,2.3141,2.3401,0.0261,19.5
10/27/2011,2.6263,2.6147,-0.0116,20.49
10/28/2011,2.6761,2.628,-0.0481,20.4
10/31/2011,2.5235,2.566,0.0425,19.76
11/1/2011,2.184,2.3039,0.1199,18.78
11/2/2011,2.2463,2.3201,0.0739,19.41
11/3/2011,2.3336,2.3522,0.0186,19.84
11/4/2011,2.2838,2.3837,0.1,19.57
11/7/2011,2.3417,2.4066,0.0649,19.78
11/8/2011,2.4578,2.4912,0.0334,20.25
11/9/2011,2.1306,2.2724,0.1418,19.07
11/10/2011,2.1774,2.2676,0.0902,19.26
11/11/2011,2.2712,2.3489,0.0777,19.69
11/14/2011,2.2164,2.3252,0.1089,19.18
11/15/2011,2.2623,2.3266,0.0643,19.28
11/16/2011,2.2013,2.3332,0.1319,19.05
11/17/2011,2.072,2.2452,0.1731,18.78
11/18/2011,2.1881,2.2563,0.0682,18.86
11/21/2011,2.0953,2.1656,0.0703,18.32
11/22/2011,2.1206,2.2322,0.1116,18.13
11/23/2011,2.0369,2.1392,0.1023,17.56
11/25/2011,1.9954,2.1433,0.1479,17.63
11/28/2011,2.0644,2.1721,0.1077,18.09
11/29/2011,2.1258,2.1593,0.0335,18.02
11/30/2011,2.2972,2.5243,0.2271,19.21
12/1/2011,2.3286,2.3739,0.0453,19.06
12/2/2011,2.4015,2.4878,0.0862,19.31
12/5/2011,2.4398,2.4638,0.024,19.71
12/6/2011,2.4615,2.4793,0.0177,19.52
12/7/2011,2.4498,2.5048,0.055,19.69
12/8/2011,2.3418,2.3889,0.0471,19.01
12/9/2011,2.4517,2.4731,0.0215,19.48
12/12/2011,2.4178,2.4159,-0.0019,19.14
12/13/2011,2.3973,2.4297,0.0324,18.82
12/14/2011,2.4124,2.41,-0.0024,18.73
12/15/2011,2.4894,2.4638,-0.0256,18.87
12/16/2011,2.6106,2.5139,-0.0967,18.88
12/19/2011,2.5672,2.5077,-0.0595,18.43
12/20/2011,2.6732,2.6497,-0.0236,19.16
12/21/2011,2.74,2.6866,-0.0534,19.4
12/22/2011,2.8066,2.7803,-0.0262,19.94
12/23/2011,2.8661,2.8685,0.0024,19.97
12/27/2011,2.8198,2.6755,-0.1443,19.95
12/28/2011,2.7748,2.7445,-0.0302,19.66
12/29/2011,2.7821,2.753,-0.0291,19.96
12/30/2011,2.7721,2.7789,0.0069,19.83
1/3/2012,2.8825,2.7651,-0.1174,20.29
1/4/2012,2.8909,2.8531,-0.0378,20.41
1/5/2012,2.9176,2.8405,-0.0771,20.8
1/6/2012,2.9744,2.9267,-0.0478,20.79
1/9/2012,3.0059,2.9564,-0.0496,21.12
1/10/2012,3.0958,3.0773,-0.0185,21.39
1/11/2012,3.1113,3.0861,-0.0252,21.56
1/12/2012,3.1534,3.101,-0.0524,21.61
1/13/2012,3.1062,3.0377,-0.0685,21.56
1/17/2012,3.0895,3.1369,0.0474,21.37
1/18/2012,3.1534,3.0776,-0.0758,21.54
1/19/2012,3.1945,3.1983,0.0038,21.5
1/20/2012,3.3168,3.2655,-0.0512,21.72
1/23/2012,3.4016,3.4715,0.0699,21.73
1/24/2012,3.3942,3.2172,-0.177,21.59
1/25/2012,3.4168,3.2544,-0.1624,21.71
1/26/2012,3.3031,3.1565,-0.1467,21.19
1/27/2012,3.3661,3.2729,-0.0932,21.27
1/30/2012,3.3283,3.3376,0.0092,21.11
1/31/2012,3.3167,3.2496,-0.0671,21.11
2/1/2012,3.4277,3.2967,-0.1309,21.42
2/2/2012,3.4697,3.375,-0.0947,21.51
2/3/2012,3.5518,3.4264,-0.1253,22.17
2/6/2012,3.5239,3.5093,-0.0146,22.01
2/7/2012,3.5441,3.5109,-0.0332,22.05
2/8/2012,3.5432,3.5523,0.0092,22.22
2/9/2012,3.5402,3.5235,-0.0166,22.18
2/10/2012,3.3597,3.4495,0.0897,21.9
2/13/2012,3.4519,3.5106,0.0587,22.07
2/14/2012,3.4111,3.5709,0.1599,21.92
2/15/2012,3.3761,2.9217,-0.4544,21.9
2/16/2012,3.4385,3.3885,-0.05,22.33
2/17/2012,3.548,3.5121,-0.0358,22.45
2/21/2012,3.4978,3.4827,-0.0151,22.39
2/22/2012,3.4389,3.4108,-0.028,21.91
2/23/2012,3.5,3.4941,-0.0059,22.16
2/24/2012,3.5396,3.6114,0.0718,22.07
2/27/2012,3.5557,3.5501,-0.0055,22.33
2/28/2012,3.572,3.5522,-0.0198,22.36
2/29/2012,3.6157,3.6428,0.0271,22.28
3/1/2012,3.6001,3.6288,0.0287,22.44
3/2/2012,3.6106,3.6603,0.0496,22.29
3/5/2012,3.5392,3.5929,0.0538,22.11
3/6/2012,3.364,3.4366,0.0726,21.56
3/7/2012,3.4875,3.536,0.0485,21.9
3/8/2012,3.5671,3.58,0.013,22.18
3/9/2012,3.672,3.7029,0.0309,22.47
3/12/2012,3.6969,3.7238,0.0269,22.42
3/13/2012,3.7479,3.9882,0.2404,23.31
3/14/2012,3.7414,4.063,0.3216,23.58
3/15/2012,3.7284,4.0555,0.3272,24.18
3/16/2012,3.8169,4.127,0.3101,24.24
3/19/2012,3.8488,4.146,0.2973,24.44
3/20/2012,3.779,4.0181,0.2391,24.4
3/21/2012,3.8039,4.0397,0.2358,24.25
3/22/2012,3.7169,3.9428,0.2258,23.84
3/23/2012,3.7883,4.0236,0.2353,23.95
3/26/2012,3.8397,4.0758,0.2362,24.27
3/27/2012,3.7945,4.022,0.2276,23.97
3/28/2012,3.7801,4.0117,0.2316,24.18
3/29/2012,3.7209,3.9718,0.2509,23.93
3/30/2012,3.7492,4.0185,0.2693,23.85
4/2/2012,3.8018,4.0278,0.226,24.02
4/3/2012,3.7448,4.0583,0.3135,24.1
4/4/2012,3.6916,3.9763,0.2848,23.72
4/5/2012,3.6365,3.9323,0.2959,23.55
4/9/2012,3.5366,3.8545,0.3179,23.11
4/10/2012,3.3625,3.6744,0.3119,22.62
4/11/2012,3.3991,3.7851,0.386,23.06
4/12/2012,3.4709,3.8485,0.3776,23.455
4/13/2012,3.2953,3.6567,0.3613,22.73
4/16/2012,3.3497,3.708,0.3583,22.94
4/17/2012,3.5,3.8059,0.3059,23.37
4/18/2012,3.4893,3.7915,0.3023,23.13
4/19/2012,3.4774,3.7779,0.3005,22.99
4/20/2012,3.5455,3.8092,0.2637,22.98
4/23/2012,3.5269,3.7403,0.2134,22.84
4/24/2012,3.6266,3.6906,0.064,23.06
4/25/2012,3.713,3.8105,0.0975,23.34
4/26/2012,3.7908,3.9149,0.1241,23.53
4/27/2012,3.8205,3.8916,0.0711,23.58
4/30/2012,3.7713,3.8563,0.0849,23.25
5/1/2012,3.817,3.9078,0.0908,23.46
5/2/2012,3.775,3.8888,0.1139,23.35
5/3/2012,3.7348,3.8565,0.1217,23.21
5/4/2012,3.6559,3.8177,0.1618,22.84
5/7/2012,3.6515,3.8652,0.2137,23.06
5/8/2012,3.6208,3.8492,0.2284,22.96
5/9/2012,3.4818,3.6779,0.196,22.67
5/10/2012,3.5596,3.7436,0.184,22.87
5/11/2012,3.5288,3.733,0.2042,22.75
5/14/2012,3.3971,3.5874,0.1904,22.28
5/15/2012,3.3363,3.5322,0.1959,22.03
5/16/2012,3.2393,3.444,0.2048,21.8
5/17/2012,3.1432,3.3368,0.1936,21.45
5/18/2012,3.024,3.2336,0.2096,21.22
5/21/2012,3.1941,3.3819,0.1878,21.42
5/22/2012,3.2231,3.4001,0.177,21.64
5/23/2012,3.144,3.3828,0.2388,21.8
5/24/2012,3.1801,3.3864,0.2063,21.87
5/25/2012,3.1947,3.3798,0.1851,21.8
5/29/2012,3.2703,3.3821,0.1118,22.06
5/30/2012,3.1605,3.3128,0.1523,21.52
5/31/2012,3.1675,3.3065,0.1389,21.7
6/1/2012,2.8476,3.0039,0.1563,20.63
6/4/2012,2.7736,2.9915,0.218,20.25
6/5/2012,2.872,3.0155,0.1435,20.38
6/6/2012,2.941,3.1053,0.1644,20.85
6/7/2012,3.0382,3.2843,0.2461,20.99
6/8/2012,3.0466,3.2186,0.1719,21.27
6/11/2012,2.9946,3.1821,0.1875,20.78
6/12/2012,2.9855,3.1956,0.21,21.07
6/13/2012,2.9245,3.2018,0.2773,20.96
6/14/2012,2.9843,3.2055,0.2211,21.25
6/15/2012,3.0137,3.2536,0.2399,21.46
6/18/2012,3.19,3.4211,0.2311,21.36
6/19/2012,3.3627,3.5927,0.23,21.75
6/20/2012,3.3364,3.6885,0.3521,21.81
6/21/2012,3.2079,3.5881,0.3802,21.3
6/22/2012,3.3336,3.6135,0.2799,21.59
6/25/2012,3.1676,3.5164,0.3489,21.1
6/26/2012,3.163,3.4534,0.2904,21.22
6/27/2012,3.2105,3.5289,0.3184,21.52
6/28/2012,3.1587,3.5066,0.3479,21.56
6/29/2012,3.3777,3.6739,0.2962,22.04
7/2/2012,3.4366,3.7142,0.2777,22.19
7/3/2012,3.5693,3.8384,0.2691,22.32
7/5/2012,3.5,3.8231,0.323,22.1
7/6/2012,3.4759,3.7299,0.254,21.97
7/9/2012,3.3988,3.6497,0.2509,21.74
7/10/2012,3.349,3.6491,0.3,21.55
7/11/2012,3.4421,3.6892,0.2471,21.74
7/12/2012,3.4169,3.6932,0.2763,21.54
7/13/2012,3.515,3.9338,0.4189,22.12
7/16/2012,3.4797,3.9086,0.4289,22.07
7/17/2012,3.5312,3.9524,0.4212,22.33
7/18/2012,3.6086,4.172,0.5634,22.14
7/19/2012,3.6118,4.0069,0.3952,21.87
7/20/2012,3.5805,3.8876,0.3071,21.44
7/23/2012,3.4835,3.7394,0.256,21.12
7/24/2012,3.4662,3.7464,0.2802,21.19
7/25/2012,3.423,3.6746,0.2516,21.28
7/26/2012,3.4892,3.7617,0.2725,21.51
7/27/2012,3.5994,3.8438,0.2443,21.82
7/30/2012,3.5335,3.8259,0.2924,21.77
7/31/2012,3.5446,3.8247,0.2801,21.72
8/1/2012,3.5803,3.8181,0.2377,21.63
8/2/2012,3.5626,3.872,0.3094,21.4
8/3/2012,3.6948,4.0604,0.3656,21.98
8/6/2012,3.7389,4.0656,0.3268,21.98
8/7/2012,3.7469,4.2404,0.4936,22.21
8/8/2012,3.7957,4.1607,0.365,22.28
8/9/2012,3.8472,4.2114,0.3642,22.24
8/10/2012,3.8724,4.1854,0.313,22.19
8/13/2012,3.8696,4.2392,0.3696,22.21
8/14/2012,3.9018,4.1956,0.2938,22.22
8/15/2012,3.9398,4.2537,0.3139,22.33
8/16/2012,3.9131,4.2724,0.3593,22.45
8/17/2012,3.9814,4.3192,0.3378,22.6
8/20/2012,3.9735,4.3887,0.4152,22.61
8/21/2012,4.0052,4.4019,0.3967,22.63
8/22/2012,4.0117,4.3837,0.372,22.54
8/23/2012,3.9077,4.2226,0.3149,22.27
8/24/2012,3.9915,4.2708,0.2793,22.37
8/27/2012,4.0368,4.2979,0.2611,22.49
8/28/2012,3.903,4.1407,0.2376,22.51
8/29/2012,3.9511,4.1858,0.2347,22.72
8/30/2012,3.9066,4.1971,0.2905,22.58
8/31/2012,3.8679,4.0567,0.1888,22.59
9/4/2012,3.8513,4.0756,0.2243,22.74
9/5/2012,3.9005,4.1302,0.2297,22.7
9/6/2012,3.9976,4.3789,0.3813,23.25
9/7/2012,4.2058,4.4549,0.2492,23.51
9/10/2012,4.194,4.4606,0.2666,23.38
9/11/2012,4.1621,4.4308,0.2687,23.53
9/12/2012,4.1838,4.5702,0.3865,23.71
9/13/2012,4.3009,4.7963,0.4954,24.19
9/14/2012,4.1648,4.7992,0.6344,24.63
9/17/2012,4.0013,4.8804,0.8791,24.2
9/18/2012,4.1273,4.792,0.6647,24.06
9/19/2012,4.1467,4.9103,0.7636,24.13
9/20/2012,3.9774,4.7186,0.7412,23.94
9/21/2012,4.0919,4.751,0.6591,23.77
9/24/2012,4.0543,4.79,0.7357,23.88
9/25/2012,3.9764,4.6508,0.6744,23.53
9/26/2012,3.9441,4.4955,0.5514,23.39
9/27/2012,3.9434,4.6086,0.6652,23.59
9/28/2012,3.9767,4.5773,0.6006,23.48
10/1/2012,3.9042,4.6366,0.7324,23.51
10/2/2012,3.9914,4.5319,0.5405,23.6
10/3/2012,4.0488,4.7591,0.7104,23.92
10/4/2012,4.0483,4.7838,0.7355,24.33
10/5/2012,4.0557,4.8174,0.7617,24.36
10/8/2012,4.0494,4.9571,0.9077,24.27
10/9/2012,3.9941,4.8921,0.898,24.04
10/10/2012,3.9634,4.8776,0.9142,24.08
10/11/2012,3.9811,4.9434,0.9624,24.24
10/12/2012,3.8864,4.8303,0.944,23.65
10/15/2012,3.8456,4.6274,0.7818,23.74
10/16/2012,3.9639,5.0986,1.1346,23.5
10/17/2012,4.0618,5.1803,1.1185,23.85
10/18/2012,4.0122,5.0891,1.077,23.8597
10/19/2012,3.9891,5.0284,1.0393,23.7
10/22/2012,3.9907,4.8874,0.8967,23.78
10/23/2012,3.9203,4.5137,0.5934,23.5
10/24/2012,3.9066,4.5452,0.6386,23.49
10/25/2012,3.9218,4.5073,0.5855,23.68
10/26/2012,3.9891,4.479,0.49,23.52
10/31/2012,3.9673,4.6188,0.6515,23.65
11/1/2012,4.0523,4.8773,0.825,23.91
11/2/2012,4.1266,4.6738,0.5472,23.68
11/5/2012,3.919,4.3377,0.4187,23.62
11/6/2012,4.0273,4.6463,0.619,23.95
11/7/2012,3.8463,4.3734,0.5271,23.09
11/8/2012,3.8002,4.4691,0.669,22.8884
11/9/2012,3.8283,4.4599,0.6316,22.91
11/12/2012,3.8709,4.3989,0.528,22.91
11/13/2012,3.8178,4.4273,0.6095,22.67
11/14/2012,3.7554,4.3056,0.5502,22.29
11/15/2012,3.6817,4.3292,0.6475,22.33
11/16/2012,3.7719,4.3435,0.5716,22.5
11/19/2012,3.9381,4.5628,0.6248,22.9
11/20/2012,3.9312,4.6322,0.7009,23.07
11/21/2012,4.0355,4.7384,0.7029,23.02
11/23/2012,4.1602,4.8319,0.6717,23.45
11/26/2012,4.1203,4.7787,0.6583,23.35
11/27/2012,3.9875,4.7227,0.7352,23.16
11/28/2012,3.9867,4.5114,0.5247,23.2
11/29/2012,4.0504,4.946,0.8956,23.26
11/30/2012,4.0172,4.7687,0.7515,23.27
12/3/2012,3.9543,4.6548,0.7005,23.17
12/4/2012,3.959,4.5893,0.6303,22.98
12/5/2012,3.9745,4.7884,0.8139,23.19
12/6/2012,3.995,4.7505,0.7555,23.21
12/7/2012,4.037,4.7687,0.7317,23.36
12/10/2012,4.0485,4.8771,0.8286,23.4003
12/11/2012,4.0943,4.9136,0.8193,23.49
12/12/2012,4.107,4.8983,0.7913,23.56
12/13/2012,4.0672,4.9274,0.8603,23.42
12/14/2012,4.074,4.5164,0.4424,23.29
12/17/2012,4.1103,4.9237,0.8134,23.85
12/18/2012,4.1365,4.8966,0.7602,24.259
12/19/2012,4.0974,5.0291,0.9318,24.1799
12/20/2012,4.0719,4.8649,0.793,24.4
12/21/2012,3.9975,4.6968,0.6994,23.93
12/24/2012,4.0021,4.7721,0.7699,23.83
12/26/2012,4.0302,4.6356,0.6054,23.76
12/27/2012,3.9455,4.5067,0.5612,23.67
12/28/2012,3.8406,4.4071,0.5665,23.56
12/31/2012,3.8703,4.497,0.6267,23.83
1/2/2013,4.1069,4.8042,0.6973,24.57
1/3/2013,4.1837,4.8173,0.6335,24.64
1/4/2013,4.353,5.1121,0.7591,25.03
1/7/2013,4.2345,5.1081,0.8737,24.97
1/8/2013,4.1862,5.2805,1.0943,24.85
1/9/2013,4.1391,5.0233,0.8843,24.73
1/10/2013,4.2262,5.1302,0.904,24.97
1/11/2013,4.1962,5.0203,0.824,24.76
1/14/2013,4.1968,5.0933,0.8965,24.8
1/15/2013,4.2145,5.0669,0.8524,24.93
1/16/2013,4.2903,5.0152,0.725,25
1/17/2013,4.3828,5.2151,0.8323,25.2
1/18/2013,4.4142,5.2494,0.8352,25.12
1/22/2013,4.5885,5.1843,0.5958,25.34
1/23/2013,4.6211,5.4491,0.828,25.21
1/24/2013,4.6497,4.9901,0.3404,25.3
1/25/2013,4.6947,5.2565,0.5618,25.34
1/28/2013,4.6413,5.1897,0.5484,25.33
1/29/2013,4.6787,4.9956,0.3169,25.38
1/30/2013,4.7218,5.2362,0.5144,25.49
1/31/2013,4.7154,5.3399,0.6245,25.48
2/1/2013,4.7797,5.213,0.4333,25.85
2/4/2013,4.687,5.0909,0.4039,25.6
2/5/2013,4.7648,5.4504,0.6856,25.94
2/6/2013,4.7091,5.1291,0.42,26.01
2/7/2013,4.7811,5.2789,0.4978,26.02
2/8/2013,4.8164,5.4049,0.5884,26.09
2/11/2013,4.8298,5.501,0.6712,26.18
2/12/2013,4.8682,5.6346,0.7664,26.39
2/13/2013,4.8358,5.5016,0.6659,26.38
2/14/2013,4.8846,5.2978,0.4132,26.31
2/15/2013,4.8922,5.5935,0.7013,26.22
2/19/2013,4.8764,5.5589,0.6825,26.42
2/20/2013,4.7088,5.3462,0.6374,26.06
2/21/2013,4.6586,5.2385,0.5799,25.75
2/22/2013,4.7443,5.4765,0.7322,26.04
2/25/2013,4.4941,5.226,0.7318,25.41
2/26/2013,4.5066,5.1757,0.6691,25.57
2/27/2013,4.5478,5.4433,0.8955,25.91
2/28/2013,4.6813,5.4519,0.7705,26
3/1/2013,4.5907,5.5603,0.9696,26
3/4/2013,4.6409,5.3696,0.7287,26.23
3/5/2013,4.7644,5.7643,0.9999,26.35
3/6/2013,4.7647,5.6671,0.9024,26.46
3/7/2013,4.8141,5.6013,0.7872,26.75
3/8/2013,4.8801,5.9683,1.0881,26.85
3/11/2013,4.9387,5.8038,0.865,27.06
3/12/2013,4.9698,6.0241,1.0543,26.91
3/13/2013,4.9495,5.9376,0.9881,27.04
3/14/2013,4.969,5.8826,0.9136,27.23
3/15/2013,5.0401,6.0275,0.9874,27.17
3/18/2013,4.9699,5.7924,0.8225,26.92
3/19/2013,4.9008,5.9447,1.0439,26.9
3/20/2013,4.9753,6.3788,1.4034,27.12
3/21/2013,4.8313,5.82,0.9886,26.88
3/22/2013,4.9146,6.0001,1.0855,26.93
3/25/2013,4.8408,6.0739,1.2331,26.91
3/26/2013,4.9425,5.9707,1.0281,27.05
3/27/2013,4.9778,5.8468,0.8691,26.98
3/28/2013,4.988,5.895,0.9069,26.93
4/1/2013,4.8358,5.8063,0.9705,26.65
4/2/2013,4.8073,5.8102,1.0029,26.5
4/3/2013,4.6773,5.6251,0.9477,26.11
4/4/2013,4.6964,5.3838,0.6874,26.24
4/5/2013,4.663,5.4445,0.7815,26.24
4/8/2013,4.6787,5.5637,0.885,26.46
4/9/2013,4.7524,5.657,0.9046,26.58
4/10/2013,4.7948,5.7504,0.9556,27
4/11/2013,4.7655,5.7997,1.0342,26.95
4/12/2013,4.639,5.6098,0.9708,26.62
4/15/2013,4.3016,5.1596,0.858,25.93
4/16/2013,4.5163,5.5839,1.0676,26.22
4/17/2013,4.2937,5.1372,0.8435,25.71
4/18/2013,4.3032,5.1374,0.8341,25.46
4/19/2013,4.4771,5.3968,0.9197,25.78
4/22/2013,4.5816,5.5284,0.9468,25.77
4/23/2013,4.8633,5.388,0.5247,26.09
4/24/2013,4.9285,5.535,0.6065,26.41
4/25/2013,4.9983,5.5092,0.5108,26.47
4/26/2013,5.0101,5.573,0.5628,26.3
4/29/2013,5.0056,5.5454,0.5398,26.42
4/30/2013,5.013,5.5211,0.508,26.4
5/1/2013,4.9272,5.4471,0.5199,26.07
5/2/2013,5.0073,5.5161,0.5088,26.32
5/3/2013,5.1216,5.6104,0.4888,26.55
5/6/2013,5.0991,5.7283,0.6293,26.87
5/7/2013,5.1546,5.7594,0.6048,27.21
5/8/2013,5.2122,5.8009,0.5887,27.3
5/9/2013,5.1765,5.6543,0.4777,27.18
5/10/2013,5.1714,5.6695,0.4981,27.34
5/13/2013,5.1014,5.6848,0.5834,27.38
5/14/2013,5.102,5.7343,0.6323,27.8
5/15/2013,5.0808,5.6779,0.5972,28
5/16/2013,5.0709,5.7,0.6291,27.93
5/17/2013,5.0708,5.8204,0.7496,28.32
5/20/2013,5.0802,5.9054,0.8252,28.46
5/21/2013,5.0556,5.7872,0.7316,28.44
5/22/2013,4.9084,5.61,0.7016,28.02
5/23/2013,4.8362,5.4787,0.6425,27.96
5/24/2013,4.9211,5.643,0.722,28.04
5/28/2013,4.9735,5.533,0.5596,28.37
5/29/2013,4.9896,5.5571,0.5674,28.33
5/30/2013,4.9415,5.6436,0.7021,28.72
5/31/2013,4.9228,5.5564,0.6336,28.34
6/3/2013,4.8041,5.3027,0.4986,28.24
6/4/2013,4.8102,5.3965,0.5863,28
6/5/2013,4.7032,5.1662,0.4631,27.59
6/6/2013,4.74,5.2135,0.4735,27.9
6/7/2013,4.7655,5.3276,0.5621,28.29
6/10/2013,4.8304,5.4023,0.5719,28.53
6/11/2013,4.7173,5.2594,0.5421,28.15
6/12/2013,4.6636,5.1232,0.4596,27.82
6/13/2013,4.7213,5.258,0.5367,28.23
6/14/2013,4.6778,5.2125,0.5347,27.87
6/17/2013,4.7124,5.2399,0.5275,28.02
6/18/2013,4.6755,5.2901,0.6146,28.25
6/19/2013,4.7703,5.4255,0.6552,28.06
6/20/2013,4.4553,4.985,0.5297,27.91
6/21/2013,4.4524,5.1588,0.7064,27.98
6/24/2013,4.3974,4.9554,0.558,27.61
6/25/2013,4.5421,5.1128,0.5707,28.22
6/26/2013,4.5718,5.2341,0.6622,28.38
6/27/2013,4.641,5.292,0.651,28.84
6/28/2013,4.5959,5.2568,0.661,28.72
7/1/2013,4.6087,5.3096,0.7009,29.1
7/2/2013,4.6318,5.3103,0.6785,29.26
7/3/2013,4.7281,5.1194,0.3913,29.33
7/5/2013,4.8757,5.5419,0.6662,30.1
7/8/2013,4.7819,5.5322,0.7503,30.21
7/9/2013,4.7809,5.5792,0.7984,30.3
7/10/2013,4.7471,5.5303,0.7831,29.99
7/11/2013,4.6192,5.3817,0.7625,29.72
7/12/2013,4.8115,5.5061,0.6946,30.07
7/15/2013,4.8102,5.5361,0.7259,30.28
7/16/2013,4.7232,5.4651,0.7419,29.95
7/17/2013,4.7657,5.5624,0.7967,30.17
7/18/2013,4.8186,5.6928,0.8741,30.8
7/19/2013,4.8372,5.6942,0.8571,30.89
7/22/2013,5.0015,5.7775,0.776,31.2
7/23/2013,5.0867,5.7481,0.6613,31.48
7/24/2013,5.1752,5.7235,0.5483,31.6
7/25/2013,4.981,5.5914,0.6104,31.47
7/26/2013,5.0292,5.5644,0.5353,31.34
7/29/2013,4.9386,5.5195,0.5808,31.08
7/30/2013,4.89,5.6653,0.7752,31.2
7/31/2013,4.9873,5.6299,0.6426,31.24
8/1/2013,5.0768,5.7342,0.6573,31.98
8/2/2013,4.9858,5.7269,0.7411,31.96
8/5/2013,5.0962,5.7857,0.6895,31.9
8/6/2013,5.0227,5.6041,0.5814,31.55
8/7/2013,4.909,5.5167,0.6077,31.31
8/8/2013,5.0238,5.5461,0.5223,31.42
8/9/2013,4.8552,5.5478,0.6926,31.3
8/12/2013,4.8664,5.5146,0.6482,31.26
8/13/2013,4.8939,5.573,0.6792,31.26
8/14/2013,4.9277,5.5873,0.6597,31.26
8/15/2013,4.8257,5.4025,0.5768,30.93
8/16/2013,4.7688,5.5206,0.7518,31.05
8/19/2013,4.6057,5.4405,0.8348,30.69
8/20/2013,4.8182,5.5881,0.7699,31.12
8/21/2013,4.7425,5.5282,0.7857,30.89
8/22/2013,4.8572,5.6258,0.7686,31.38
8/23/2013,4.7826,5.5537,0.7711,31.21
8/26/2013,4.7196,5.4615,0.7418,30.98
